Date : 2026-07-09 03:31:23
Directory : v:\vex_os
Total : 79 files,  -20905 codes, 22 comments, -91 blanks, all -20974 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| v:\vex_os\build\out\stage-root.log                    | Log         |     -2,005 |          0 |        -20 |     -2,025 |
| v:\vex_os\build\out\stage-watchdog-fresh.log          | Log         |     -2,378 |          0 |        -20 |     -2,398 |
| v:\vex_os\build\out\stage-watchdog.log                | Log         |     -1,431 |          0 |         -1 |     -1,432 |
| v:\vex_os\build\out\verify-hub.log                    | Log         |        -61 |          0 |         -5 |        -66 |
| v:\vex_os\build\qemu-debugcon.log                     | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-debugcon2.log                    | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-debugcon3.log                    | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-desktop.log                      | Log         |        -64 |          0 |         -6 |        -70 |
| v:\vex_os\build\qemu-final.log                        | Log         |        -61 |          0 |         -6 |        -67 |
| v:\vex_os\build\qemu-gfx.log                          | Log         |        -64 |          0 |         -6 |        -70 |
| v:\vex_os\build\qemu-gui-final-serial.log             | Log         |        -55 |          0 |         -6 |        -61 |
| v:\vex_os\build\qemu-gui-serial.log                   | Log         |     -1,045 |          0 |        -96 |     -1,141 |
| v:\vex_os\build\qemu-gui-stderr.log                   | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-gui-stdout.log                   | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-headless-stderr.log              | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-headless-stdout.log              | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-live.log                         | Log         |        -56 |          0 |         -7 |        -63 |
| v:\vex_os\build\qemu-noreboot-serial.log              | Log         |          0 |          0 |         -1 |         -1 |
| v:\vex_os\build\qemu-run-debug.log                    | Log         |         -2 |          0 |         -3 |         -5 |
| v:\vex_os\build\qemu-serial-trace.log                 | Log         |        -55 |          0 |         -6 |        -61 |
| v:\vex_os\build\qemu-serial2.log                      | Log         |        -55 |          0 |         -6 |        -61 |
| v:\vex_os\build\qemu-serial3.log                      | Log         |        -55 |          0 |         -6 |        -61 |
| v:\vex_os\build\qemu-services.log                     | Log         |         -2 |          0 |         -1 |         -3 |
| v:\vex_os\build\qemu-shell-serial.log                 | Log         |        -55 |          0 |         -6 |        -61 |
| v:\vex_os\build\qemu-ui-fix.log                       | Log         |        -64 |          0 |         -6 |        -70 |
| v:\vex_os\build\qemu.log                              | Log         |       -125 |          0 |         -6 |       -131 |
| v:\vex_os\command-to-run.md                           | Markdown    |         11 |          0 |          0 |         11 |
| v:\vex_os\docs\architecture-tree.md                   | Markdown    |        -30 |          0 |         -7 |        -37 |
| v:\vex_os\docs\architecture.md                        | Markdown    |        239 |          0 |         64 |        303 |
| v:\vex_os\docs\build.md                               | Markdown    |        108 |          0 |         39 |        147 |
| v:\vex_os\docs\developer-guide.md                     | Markdown    |        134 |          0 |         47 |        181 |
| v:\vex_os\docs\package-format.md                      | Markdown    |        123 |          0 |         44 |        167 |
| v:\vex_os\docs\roadmap.md                             | Markdown    |        104 |          0 |         35 |        139 |
| v:\vex_os\docs\running.md                             | Markdown    |        105 |          0 |         36 |        141 |
| v:\vex_os\loader_pars.md                              | Markdown    |        155 |          0 |          5 |        160 |
| v:\vex_os\tools\analyze_tests.py                      | Python      |        155 |          7 |         35 |        197 |
| Total                                                 |             |    -20,905 |         22 |        -91 |    -20,974 |
+-------------------------------------------------------+-------------+------------+------------+------------+------------+
