"filename", "language", "Markdown", "Python", "JSON", "CMake", "C++", "C", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\bitflags-f2082f24f8d37ffe\lib-bitflags.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\block-buffer-d96327a2a428abb0\lib-block_buffer.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\cfg-if-273ffe4f4781cd56\lib-cfg_if.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\cpufeatures-7bfc4b36b50bdeba\lib-cpufeatures.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\crypto-common-856ebb28f585c145\lib-crypto_common.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\crypto-common-ed85b41a22e5c024\lib-crypto_common.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-886942803a27a3fd\lib-curve25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-ef92a065eda0313f\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\curve25519-dalek-fe9385f86f89dd77\lib-curve25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\digest-0378e93708eb5fd0\lib-digest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\digest-b059eb2081b8cf30\lib-digest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-9653af8ce642bd9b\lib-ed25519.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-27687fe0890fac60\lib-ed25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ed25519-dalek-38152d000a9cbe4e\lib-ed25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-23eeef57f50114dd\lib-generic_array.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\generic-array-7b76943d0682d1a8\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\log-cdd89cbbe9774fc6\lib-log.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ptr_meta-df81312a49f51119\lib-ptr_meta.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-134809fef1c95c45\lib-sha2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\sha2-e157437fba9440da\lib-sha2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\signature-61c14b6d65a61428\lib-signature.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\subtle-a032d000767df35b\lib-subtle.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\typenum-b59b66e9b4f45af3\lib-typenum.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\ucs2-1868e22a4eec054c\lib-ucs2.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-e4c9495851a4cfae\lib-uefi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uefi-raw-605f0a1d6271cbf2\lib-uefi_raw.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\uguid-5c2811f0444242ed\lib-uguid.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-4f821b609b5f3d5b\bin-vex_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\vex_loader-bf5a142ae22d60fd\bin-vex_loader.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\x86_64-unknown-uefi\release\.fingerprint\zeroize-af5f46ca9563ff51\lib-zeroize.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 407, 0, 0, 95, 502
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeASM_NASMCompiler.cmake", "CMake", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 18, 86
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 21, 103
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeSystem.cmake", "CMake", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"v:\vex_os\build\CMakeFiles\4.3.1\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 729, 0, 0, 0, 0, 63, 158, 950
"v:\vex_os\build\CMakeFiles\4.3.1\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 711, 0, 0, 0, 62, 162, 935
"v:\vex_os\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 10617, 4, 46, 10667
"v:\vex_os\build\CMakeFiles\InstallScripts.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"v:\vex_os\build\CTestTestfile.cmake", "CMake", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"v:\vex_os\build\boot\compositor_blob.c", "C", 0, 0, 0, 0, 0, 1148, 0, 0, 0, 0, 3, 1151
"v:\vex_os\build\boot\diag_blob.c", "C", 0, 0, 0, 0, 0, 685, 0, 0, 0, 0, 3, 688
"v:\vex_os\build\boot\gpu_blob.c", "C", 0, 0, 0, 0, 0, 1398, 0, 0, 0, 0, 3, 1401
"v:\vex_os\build\boot\init_blob.c", "C", 0, 0, 0, 0, 0, 2787776, 0, 0, 0, 0, 3, 2787779
"v:\vex_os\build\boot\kernel_blob.c", "C", 0, 0, 0, 0, 0, 4098, 0, 0, 0, 0, 3, 4101
"v:\vex_os\build\boot\services_blob.c", "C", 0, 0, 0, 0, 0, 831, 0, 0, 0, 0, 3, 834
"v:\vex_os\build\boot\terminal_blob.c", "C", 0, 0, 0, 0, 0, 326, 0, 0, 0, 0, 3, 329
"v:\vex_os\build\boot\tests_blob.c", "C", 0, 0, 0, 0, 0, 521, 0, 0, 0, 0, 3, 524
"v:\vex_os\build\cmake_install.cmake", "CMake", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"v:\vex_os\command-to-run.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"v:\vex_os\docs\architecture.md", "Markdown", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 303
"v:\vex_os\docs\build.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 147
"v:\vex_os\docs\developer-guide.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 181
"v:\vex_os\docs\package-format.md", "Markdown", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 206
"v:\vex_os\docs\roadmap.md", "Markdown", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 139
"v:\vex_os\docs\running.md", "Markdown", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 141
"v:\vex_os\kernel\arch\x86_64\execution.c", "C", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 22, 165
"v:\vex_os\kernel\arch\x86_64\framebuffer.c", "C", 0, 0, 0, 0, 0, 341, 0, 0, 0, 0, 36, 377
"v:\vex_os\kernel\arch\x86_64\interrupts.c", "C", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 15, 126
"v:\vex_os\kernel\arch\x86_64\port.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"v:\vex_os\kernel\arch\x86_64\ps2_keyboard.c", "C", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 9, 54
"v:\vex_os\kernel\arch\x86_64\serial.c", "C", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"v:\vex_os\kernel\arch\x86_64\timer.c", "C", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 37
"v:\vex_os\kernel\core\acpi.c", "C", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 26, 186
"v:\vex_os\kernel\core\address_space.c", "C", 0, 0, 0, 0, 0, 284, 0, 0, 0, 0, 36, 320
"v:\vex_os\kernel\core\console.c", "C", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"v:\vex_os\kernel\core\desktop.c", "C", 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 26, 263
"v:\vex_os\kernel\core\graphics.c", "C", 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 33, 289
"v:\vex_os\kernel\core\ipc.c", "C", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"v:\vex_os\kernel\core\kernel.c", "C", 0, 0, 0, 0, 0, 449, 0, 0, 0, 0, 45, 494
"v:\vex_os\kernel\core\manifest.c", "C", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 23, 173
"v:\vex_os\kernel\core\memory.c", "C", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 26, 150
"v:\vex_os\kernel\core\process.c", "C", 0, 0, 0, 0, 0, 278, 0, 0, 0, 6, 34, 318
"v:\vex_os\kernel\core\scheduler.c", "C", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 11, 72
"v:\vex_os\kernel\core\syscall.c", "C", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 5, 96
"v:\vex_os\kernel\include\vex\boot_info.h", "C++", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 11, 91
"v:\vex_os\kernel\include\vex\kernel.h", "C++", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 38, 360
"v:\vex_os\kernel\include\vex\types.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"v:\vex_os\loader_pars.md", "Markdown", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 160
"v:\vex_os\tests\fixtures\demo-app\manifest.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"v:\vex_os\tests\package_tooling.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 19, 101
"v:\vex_os\tests\smoke_boot.py", "Python", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 13, 103
"v:\vex_os\tools\analyze_tests.py", "Python", 0, 155, 0, 0, 0, 0, 0, 0, 0, 7, 35, 197
"v:\vex_os\tools\generate_blob_source.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"v:\vex_os\tools\generate_wallpaper_asset.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 13, 47
"v:\vex_os\tools\vex\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 44, 344
"v:\vex_os\tools\vex\target\.rustc_info.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\block-buffer-b59faa3ad7f906b1\lib-block_buffer.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\cfg-if-898e5947815c5d94\lib-cfg_if.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\cpufeatures-6cbc0565f653e378\lib-cpufeatures.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\crypto-common-319eaa8253366731\lib-crypto_common.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\curve25519-dalek-826d39af20b53719\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\curve25519-dalek-9b179b87c3de6e19\lib-curve25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\curve25519-dalek-c513941123015ea9\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\curve25519-dalek-derive-4654edfc8bac0664\lib-curve25519_dalek_derive.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\digest-8bc7652c5f9f2ae6\lib-digest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\ed25519-dalek-dd0bca8ec1cd284e\lib-ed25519_dalek.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\ed25519-e4e21649c23c61b9\lib-ed25519.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\generic-array-076dab6f0f014b97\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\generic-array-372483b9aa01d8a5\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\tools\vex\target\release\.fingerprint\generic-array-7fa45e6858dab8e9\lib-generic_array.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
