"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\apps\terminal\manifest.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"v:\vex_os\apps\testcenter\main.c", "C", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 16, 198
"v:\vex_os\apps\testcenter\manifest.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"v:\vex_os\boot\loader\include\efi.h", "C++", 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 28, 359
"v:\vex_os\boot\loader\include\loader.h", "C++", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 13, 69
"v:\vex_os\boot\loader\include\tweetnacl.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"v:\vex_os\boot\loader\src\common.c", "C", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"v:\vex_os\boot\loader\src\elf.c", "C", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 13, 85
"v:\vex_os\boot\loader\src\main.c", "C", 0, 0, 0, 0, 462, 0, 0, 0, 0, 0, 0, 48, 510
"v:\vex_os\boot\loader\src\package.c", "C", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 22, 142
"v:\vex_os\boot\loader\src\sha256.c", "C", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 19, 138
"v:\vex_os\boot\loader\src\tweetnacl.c", "C", 0, 0, 0, 0, 412, 0, 0, 0, 0, 0, 0, 64, 476
"v:\vex_os\boot\loader\target\.rustc_info.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"v:\vex_os\boot\loader\target\release\.fingerprint\curve25519-dalek-769562031082d83c\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
